case_id,query_id,query,query_slice,candidate_source,sampling_target_rank,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
U_Q01_T02,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,2,2,9781403356208,Lila's Child,Dan Glover,"Secular Faith revolves around the friendship of two men, one Christian and the other atheist. The difference in their perspectives, where faith and reason seem to diverge, forms the underlying tension that propels the storyline. When an unlikely sequence of fortune and misfortune seems divinely influenced and leads them to interpret events differently, it produces conflicting judgments on how to react, and their friendship is put to the test. Counteracting the wedge that pushes them apart is the human drive to grasp the spiritual meaning of existence. Because it is not enough to agree to disagree, each is driven to bring the other to his view in order to affirm that it represents truth. Their actions are influenced not by a God who intervenes in the matters of mankind, but by belief of whether or not He does. Ultimately they discover that a man is defined by his actions and not by what he believes to be true. Morality exists to guide actions, not thoughts. The story of Tom Dagney and Christopher Pierce represents the struggle between belief and non-belief within men who, by their very nature, doubt that which they profess to believe, and struggle to understand this dichotomy. How belief translates into behavior proves far more intriguing than scholarly debate about philosophical perspectives. Caring about what people think pales compared to the passions aroused by how they live. This story of friendship, love, envy, tragedy, and redemption gives breath to philosophy and life to the struggle to identify human purpose. Above all Secular Faith exemplifies that, without a doubt, a man who puts aside his faith to serve his friends will always be a better man than one who puts aside his friends to serve his faith.",1.0.0,0.1.0,2,redemption is directly implied and forgiveness facet is missing,LABELLED
U_Q01_T70,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,70,70,9781893007161,Alcoholics Anonymous,Anonymous,"Alcoholics Anonymous (also known as the Big Book in recovery circles) sets forth cornerstone concepts of recovery from alcoholism and tells the stories of men and women who have overcome the disease. The fourth edition includes twenty-four new stories that provide contemporary sharing for newcomers seeking recovery from alcoholism in A.A. during the early years of the 21st century. Sixteen stories are retained from the third edition, including the ""Pioneers of A.A."" section, which helps the reader remain linked to A.A.'s historic roots, and shows how early members applied this simple but profound program that helps alcoholics get sober today. Approximately 21 million copies of the first three editions of ""Alcoholics Anonymous"" have been distributed. It is expected that the new fourth edition will play its part in passing on A.A.'s basic message of recovery. This fourth edition has been approved by the General Service Conference of Alcoholics Anonymous, in the hope that many more may be led toward recovery by reading its explanation of the A.A. program and its varied examples of personal experiences which demonstrate that the A.A. program works.",1.0.0,0.1.0,0,no strong/incidental match with forgivesness and redemption ,LABELLED
U_Q02_T10,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,10,10,9780375756603,Pipe Dream,Solomon Jones,The murder of a Philadelphia politician with a reputation for exposing corruption could lead to scandal when it is discovered that the man had been the victim of blackmail and that police officials may be responsible.,1.0.0,0.1.0,3,"Strong match with suspense,crime but investigation is implied",LABELLED
U_Q02_T30,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,30,30,9780449001240,Naked Came the Manatee,Carl Hiaasen;Dave Barry;Elmore Leonard,"A story of suspense written serially by thirteen Florida writers--including Dave Barry, Carl Hiaasen, and Elmore Leonard--features such strange occurances as a riot in Coconut Grove and an appearance by Fidel Castro.",1.0.0,0.1.0,2,"Strong match with suspense,no match with crime and investigation",LABELLED
U_Q02_T70,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,70,70,9780380732029,Killing Time,Cynthia Harrod-Eagles,"When a male erotic dancer who asked him for help is killed, Slider probes the victim's sordid career amid seedy nightclubs, prostitutes, and unconventional cabinet ministers, and he links the killing to that of a popular constable. Reprint. PW. K. NYT.",1.0.0,0.1.0,3,"no match with suspense,strong match with crime and investigation",LABELLED
U_Q03_T02,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,2,2,9780824521233,Save the Date,Jason King;Donna Freitas,"In this funny and lighthearted book by twentysomethings Freitas and King, the authors present a positive view of dating, showing young people how dating can be a spiritual path that promotes maturity and growth.",1.0.0,0.1.0,2,match with personal growth but finding purpose facet is missing,LABELLED
U_Q03_T30,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,30,30,9781400078394,Learned Optimism,Martin E. P. Seligman,"An authority on cognitive psychology and motivation documents the positive effects of optimism on the quality of life and provides a program of specific exercises designed to break the pessimism habit while developing an optimistic outlook. Reprint. 25,000 first printing.",1.0.0,0.1.0,1,incidental match with personal growth but finding purpose facet is missing,LABELLED
U_Q03_T70,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,70,70,9780830832941,Courageous Faith Through the Year,Bill Hybels,"Focusing on the key aspects of Christian life--prayer, character, and wisdom--this one-year devotional shows believers how to know God more deeply and discover how he works in them.",1.0.0,0.1.0,1,no match with personal growth and superficial match with finding purpose aspects,LABELLED
U_Q04_T10,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,10,10,9780062513342,The Valkyries,Paulo Coelho,"A Magical Tale About Forgiving Our Past and Believing in Our Future The enchanting, true story of The Valkyries begins in Rio de Janeiro when author Paulo Coelho gives his mysterious master J., the only manuscript for his book The Alchemist. Haunted by a devastating curse, Coelho confesses to J., ""I′ve seen my dreams fall apart just when I seemed about to achieve them."" In response, J. gives Coelho a daunting task: He must find and speak with his guardian angel. ""The curse can be broken,"" he replies, ""if you complete the task."" Rising to the challenge, Paulo and his wife, Cristina, drop everything, pack their bags, and take off on a forty day adventure into the starkly beautiful and sometimes dangerous Mojave Desert where they encounter more than they bargained for. A masterful blend of the exotic locales, dramatic adventure, and magical storytelling, for which Coelho′s fictional works are renowned, this true-life account is at once a modern-day adventure and a metaphysical odyssey.",1.0.0,0.1.0,4,"strong match with fantasy adventure, magic and dangerous journey aspect",LABELLED
U_Q04_NEG,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,random_negative_candidate,,,9780142003268,The Spy who Loved Me,Ian Fleming,"James Bond has known quite a few women but the beautiful Vivienne Michel was different. Trapped in the Canadian backwoods, with two hit-men on her trail, only one man can save her from becoming the ex-Ms Michel -- James Bond: the spy who she hopes can save her, and the spy who will love her.",1.0.0,0.1.0,0,"no match with fantasy adventure, magic and dangerous journeys",LABELLED
